32,97,77,94,85,112,42,115 老
76,95,123,93,129,111,84,114 人
124,93,169,91,172,108,130,110 不
172,91,207,89,209,107,175,109 回
203,88,247,86,247,105,205,107 答
253,100,264,99,264,107,253,107 ，
260,86,300,84,298,102,260,104 呆
300,84,339,82,335,100,298,102 呆
339,81,377,80,372,98,335,100 地
377,80,415,78,408,96,372,98 望
414,77,452,75,442,95,406,97 着
452,76,489,74,478,93,442,95 他
487,85,497,85,492,93,482,94 。
433,143,450,146,463,163,445,160 （
416,135,466,144,487,169,432,160 张
522,115,543,116,555,127,533,126 序
547,118,567,119,577,127,557,126 四
