122,2,154,4,168,32,137,29 它
155,4,188,6,201,36,170,34 们
191,7,221,9,233,39,204,36 同
219,8,252,10,262,41,230,39 归
250,11,290,13,297,43,260,40 于
291,13,329,16,334,47,299,44 尽
331,16,368,18,371,50,336,47 了
372,37,385,38,385,49,373,48 。
139,33,174,36,187,63,154,60 我
174,36,208,39,220,66,187,63 摇
208,39,244,42,254,69,220,66 摇
245,42,282,45,290,75,255,71 头
288,59,297,60,300,72,292,71 ：
293,47,309,49,311,58,295,57 "
308,49,343,52,347,79,313,76 没
342,51,381,54,382,82,346,78 想
384,55,420,58,419,85,386,82 出
414,57,460,61,457,90,414,86 来
465,79,478,80,476,89,463,88 。
478,63,497,65,495,75,476,73 "
28,47,40,48,55,66,43,64 乌
40,48,53,49,67,67,55,66 利
52,49,66,50,80,68,66,67 好
67,51,79,52,93,70,80,68 像
79,52,92,53,105,71,93,70 中
93,54,106,55,118,73,105,71 了
105,54,119,56,131,74,118,73 枪
118,56,133,57,144,76,130,74 弹
134,57,148,59,159,77,145,76 似
148,59,162,60,172,79,159,77 的
162,60,176,62,186,80,172,79 蜷
176,62,191,63,200,82,186,80 缩
190,63,206,65,215,84,199,82 着
214,78,217,78,220,84,216,84 。
211,65,226,67,234,86,220,84 它
226,67,242,68,249,87,234,86 绝
241,68,259,70,265,89,248,87 望
260,70,276,72,282,91,266,89 地
276,72,292,73,298,93,282,91 朝
293,74,309,76,314,95,298,93 那
309,75,326,77,330,97,314,95 扇
325,77,345,79,348,99,329,96 着
348,93,352,93,353,99,349,99 。
51,124,109,124,109,176,51,176 金
110,132,167,132,167,184,110,184 逸
168,119,221,119,221,173,168,173 铭
